,repository_name,language
0,.github,
1,ads-advanced-tools-docs,
2,alexa-coho,JavaScript
3,alexa-skills-kit-js,
4,amazon-ads-advertiser-audience-normalization-sdk-py,Python
5,amazon-advertising-api-php-sdk,PHP
6,amazon-codeguru-profiler-for-spark,Java
7,amazon-frustration-free-setup-certification-tool,Python
8,amazon-hub-counter-api-docs,CSS
9,amazon-hub-counter-api-samples,Java
10,amazon-hub-counter-sdk-java,Java
11,amazon-hub-support,PowerShell
12,amazon-instant-access-sdk-java,Java
13,amazon-instant-access-sdk-net,C#
14,amazon-instant-access-sdk-php,PHP
15,amazon-instant-access-sdk-ruby,Ruby
16,amazon-launcher-integration-cordova-plugin,JavaScript
17,amazon-marketing-stream-examples,Python
18,amazon-mcf-plugin-for-magento-1,PHP
19,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
20,amazon-pay-api-sdk-dotnet,C#
21,amazon-pay-api-sdk-java,Java
22,amazon-pay-api-sdk-nodejs,JavaScript
23,amazon-pay-api-sdk-php,PHP
24,amazon-pay-sdk-csharp,C#
25,amazon-pay-sdk-java,Java
26,amazon-pay-sdk-php,PHP
27,amazon-pay-sdk-python,Python
28,amazon-pay-sdk-ruby,Ruby
29,amazon-pay-sdk-samples,PHP
30,amazon-payment-files-tools,Kotlin
31,amazon-payments-magento-2-plugin,PHP
32,amazon-ray,Python
33,amazon-s3-gst-plugin,C
34,amazon-sidewalk-android-samples,Kotlin
35,amazon-sidewalk-ios-samples,Swift
36,amazon-succinct-doc-representation,Python
37,amazon-template-library,C++
38,amazon-weak-ner-needle,Python
39,amigitenough,Go
40,amzn-drivers,C
41,amzn-ec2-ena-utilities,Python
42,auction-gym,Jupyter Notebook
43,autotrail,Python
44,aws-apigateway-client-lib,
45,aws-sigv4-signing-samples,Java
46,awsssmchaosrunner,Kotlin
47,basis-point-sets,Python
48,buy-with-prime-oauth-handler-ec2,JavaScript
49,computer-vision-basics-in-microsoft-excel,
50,confident-sinkhorn-allocation,Jupyter Notebook
51,convolutional-handwriting-gan,Python
52,cosearcher,Python
53,credence-to-causal-estimation,Python
54,data-jack-knife,Java
55,debiased-balanced-interleaving,Jupyter Notebook
56,differential-privacy-bayesian-optimization,Python
57,distance-assistant,Python
58,drs-sample-android-app,Java
59,drs-sample-ios-app,Objective-C
60,emukit-playground,JavaScript
61,eslint-plugin-no-date-parsing,TypeScript
62,exoplayer-amazon-port,Java
63,explainable-text-vqa,
64,fashion-attribute-disentanglement,Python
65,fire-app-builder,Java
66,firetv-sample-touch-app,Java
67,ftv-livetv-sample-tv-app,Java
68,gameon-sample-game-unity,C#
69,gameon-starter-kit-unity,C#
70,git-commit-template,JavaScript
71,glad,JavaScript
72,golang-gitoperations,Go
73,halo-third-party-sdk-for-java,Java
74,halo-third-party-sdk-for-node-js,TypeScript
75,halo-third-party-sdk-for-python,Python
76,hawktracer,C++
77,image-misspell-coling2020,
78,image-to-recipe-transformers,Python
79,ion-object-mapper-dotnet,C#
80,jekyll-doc-project,HTML
81,kqr,
82,login-with-amazon-oscommerce,PHP
83,login-with-amazon-wordpress,PHP
84,merlin-on-demand-callgraph,Java
85,metalearn-leap,Python
86,milan,Scala
87,multiconer-baseline,Python
88,multilingual-keyphrase-generation,Python
89,multimodal-affinities,Python
90,MXFusion,Python
91,nimbus-jose-jwt_aws-kms-extension,Java
92,openapi-swift-code-generate,Swift
93,orthogonal-additive-gaussian-processes,Python
94,oss-attribution-builder,TypeScript
95,oss-contribution-tracker,TypeScript
96,oss-dashboard,Ruby
97,pecos,Python
98,pretraining-or-self-training,Python
99,rdma-core,C
100,refuel-open-domain-qa,Python
101,rete-thewebconf-2022,Python
102,rheoceros,Python
103,robotiq-gripper-interface,C++
104,sample-fire-tv-app-video-skill,Java
105,selling-partner-api-docs,HTML
106,selling-partner-api-models,Java
107,seqzero,Python
108,service-model-swift-code-generate,Swift
109,sketch-constructor,JavaScript
110,smoke-aws,Swift
111,smoke-aws-credentials,Swift
112,smoke-aws-generate,Swift
113,smoke-aws-support,Swift
114,smoke-dynamodb,Swift
115,smoke-framework,Swift
116,smoke-framework-application-generate,Swift
117,smoke-framework-examples,Swift
118,smoke-http,Swift
119,sparse-vqvae,Python
120,ss-aga-kgc,Python
121,sto-transformer,Python
122,style-dictionary,JavaScript
123,supply-chain-simulation-environment,Python
124,tiny-attribution-generator,TypeScript
125,trans-encoder,Python
126,user-satisfaction-modeling,Python
127,workspace-resolver,JavaScript
128,xfer,Python
129,zeek-plugin-bacnet,Zeek
130,zeek-plugin-enip,Zeek
131,zeek-plugin-profinet,Zeek
132,zeek-plugin-s7comm,Zeek
133,zeek-plugin-tds,Zeek
134,zero-shot-rlhr,Python
